日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2011/11/30,-0.087,0.011,-0.0351
2011/12/30,-0.0405,-0.0456,0.0633
2012/1/31,0.0315,-0.0179,-0.0011
2012/2/29,0.1045,-0.0169,0.0257
2012/3/30,-0.0471,0.0288,-0.0296
2012/4/27,0.0587,0.0508,-0.0159
2012/5/31,-0.0405,0.0217,0.0325
2012/6/29,-0.0249,-0.031,-0.0061
2012/7/31,-0.1148,-0.1141,0.0107
2012/8/31,0.0306,0.0984,-0.0399
2012/9/28,0.0107,0.0098,0.0059
2012/10/31,0.0148,-0.0128,0.0242
2012/11/30,0.0041,-0.0729,0.0493
2012/12/31,0.1529,0.0435,0.0241
2013/1/31,0.1806,-0.0111,0.0952
2013/2/28,-0.0202,0.0314,-0.0168
2013/3/29,-0.0599,-0.0023,0.0197
2013/4/26,-0.0062,-0.0216,0.0786
2013/5/31,0.0553,0.0399,-0.0133
2013/6/28,-0.1094,-0.013,-0.0063
2013/7/31,-0.001,0.0134,-0.0002
2013/8/30,0.0416,0.0418,0.0397
2013/9/30,0.0191,-0.0305,0.0253
2013/10/31,-0.0087,-0.0152,0.004
2013/11/29,0.0411,-0.0198,0.023
2013/12/31,-0.016,0.0393,-0.0167
2014/1/30,-0.0298,0.0329,0.028
2014/2/28,-0.0506,0.0521,0.0717
2014/3/31,-0.019,0.0132,-0.0252
2014/4/30,0.0042,-0.0311,-0.0206
2014/5/30,-0.028,0.0051,-0.0049
2014/6/30,0.0238,-0.0247,-0.0092
2014/7/31,0.0876,-0.0276,0.0051
2014/8/29,0.0398,0.0178,0.0073
2014/9/30,0.0498,0.0566,0.0052
2014/10/31,-0.0165,0.0006,-0.0053
2014/11/28,0.0325,-0.012,0.0276
2014/12/31,0.0428,-0.0328,0.0253
2015/1/30,0.0145,-0.0119,-0.071
2015/2/27,0.0254,-0.0074,0.0067
2015/3/31,0.0454,0.042,0.005
2015/4/30,0.2727,0.0654,-0.0203
2015/5/29,0.1596,0.2697,-0.0752
2015/6/30,-0.0986,-0.0372,0.0545
2015/7/31,-0.1957,-0.0027,0.0356
2015/8/31,-0.1632,-0.0088,0.0253
2015/9/30,0.0063,0.0355,-0.1456
2015/10/30,0.1349,0.0868,-0.0075
2015/11/30,0.0528,0.0796,-0.0435
2015/12/31,0.1062,0.0583,-0.0808
2016/1/29,-0.173,-0.0312,0.0047
2016/2/29,-0.0355,0.0064,0.0174
2016/3/31,0.0857,0.0642,-0.0127
2016/4/29,-0.0202,-0.0085,0.0099
2016/5/31,-0.0587,0.0136,0.0326
2016/6/30,0.0101,0.0137,-0.0324
2016/7/29,0.013,0.0156,0.0477
2016/8/31,0.0244,0.0022,0.0311
2016/9/30,0.0055,-0.0063,0.0451
2016/10/31,-0.0302,0.0059,0.0536
2016/11/30,0.0076,-0.0179,-0.0041
2016/12/30,-0.0269,0.004,-0.0245
2017/1/26,-0.0138,-0.0278,0.0259
2017/2/28,0.0262,-0.0165,0.0647
2017/3/31,-0.0245,-0.0006,0.0632
2017/4/28,-0.0164,-0.0218,0.0124
2017/5/31,-0.0421,-0.04,0.0178
2017/6/30,0.0426,-0.019,0.0198
2017/7/31,0.0272,-0.0214,0.0052
2017/8/31,-0.0009,-0.0021,0.0263
2017/9/29,0.0415,0.0059,0.0024
2017/10/31,-0.0136,-0.0152,0.0244
2017/11/30,-0.0548,-0.0188,-0.0155
2017/12/29,0.0145,-0.0278,0.0262
2018/1/31,0.0145,-0.0586,0.0493
2018/2/28,-0.0454,-0.0228,0.0396
2018/3/30,-0.0094,0.0237,-0.0344
2018/4/27,-0.0481,-0.0118,-0.0252
2018/5/31,-0.0132,-0.0427,0.0423
2018/6/29,-0.0418,-0.043,0.0364
2018/7/31,0.0031,-0.0169,0.006
2018/8/31,-0.0402,-0.0121,-0.0161
2018/9/28,-0.0047,-0.0069,-0.0379
2018/10/31,-0.0806,-0.0205,-0.0547
2018/11/30,0.0042,0.0064,-0.0474
2018/12/28,-0.0309,0,-0.0286
2019/1/31,0.0093,-0.0659,0.019
2019/2/28,0.1176,0.0693,0.0327
2019/3/29,0.0344,0.0343,-0.0317
2019/4/30,-0.003,-0.0291,0.0141
2019/5/31,-0.073,-0.0336,0.0152
2019/6/28,0.0376,-0.0099,-0.012
2019/7/31,-0.0285,-0.0255,0.0403
2019/8/30,-0.0569,-0.0097,0.0155
2019/9/30,0.0212,0.018,-0.0184
2019/10/31,-0.0433,0.004,-0.0016
2019/11/29,-0.0619,-0.0135,0.0527
2019/12/31,0.079,-0.0355,-0.0104
2020/1/23,-0.0177,0.008,0.0047
2020/2/28,-0.0657,-0.0203,0.0093
2020/3/31,-0.089,0.0232,-0.0019
2020/4/30,0.0072,-0.0738,0.0301
2020/5/29,-0.0246,-0.0142,-0.0258
2020/6/30,0.0492,-0.0028,0.0103
2020/7/31,0.1036,0.07,-0.023
2020/8/31,0.0548,-0.0459,-0.0545
2020/9/30,-0.0246,0.005,-0.0108
2020/10/30,-0.0138,-0.0444,0.0132
2020/11/30,0.0258,-0.0735,0.0819
2020/12/31,0.0327,-0.0115,-0.0436
2021/1/29,-0.01,-0.015,-0.0244
2021/2/26,0.0096,-0.0361,0.0797
2021/3/31,0.0157,0.0025,0.0075
2021/4/30,0.0124,-0.029,0.0626
2021/5/31,0.0166,-0.0046,0.0669
2021/6/30,0.0351,0.0026,-0.0405
2021/7/30,0.0006,0.0097,0.0171
2021/8/31,0.0285,-0.041,-0.0007
2021/9/30,0.0107,-0.0003,-0.0239
2021/10/29,-0.0179,-0.0026,-0.058
2021/11/30,0.0188,-0.0434,-0.0434
2021/12/31,0.0124,0.0411,0.0226
2010/1/29,-0.0924,0.0658,-0.0479
2010/2/26,0.0235,0.0455,-0.0074
2010/3/31,0.024,0.0275,0.0009
2010/4/30,-0.0788,-0.0015,-0.0515
2010/5/31,-0.088,-0.0002,-0.0461
2010/6/30,-0.0741,-0.0201,0.0113
2010/7/30,0.1117,0.0327,-0.0041
2010/8/31,0.0019,0.0541,-0.0697
2010/9/30,0.0087,-0.0057,-0.0364
2010/10/29,0.1186,-0.0337,0.0082
2010/11/30,-0.0578,0.0402,-0.0757
2010/12/31,-0.0116,-0.0106,0.0382
2011/1/31,-0.009,-0.0218,0.05
2011/2/28,0.036,0.0568,-0.0305
2011/3/31,0.0087,0.0219,0.027
2011/4/29,-0.0095,-0.0059,0.0064
2011/5/31,-0.0603,-0.0054,-0.0091
2011/6/30,0.0132,-0.0023,-0.0055
2011/7/29,-0.0224,0.0181,-0.0514
2011/8/31,-0.0543,0.0166,-0.026
2011/9/30,-0.0824,-0.0266,0.0426
2011/10/31,0.043,0.0062,0.0077
2011/11/30,-0.0564,0.0019,-0.032
2011/12/30,-0.0572,-0.0854,0.0686
2012/1/31,0.0396,-0.0314,0.0237
2012/2/29,0.0527,0.0503,-0.0336
2012/3/30,-0.0726,0.0012,-0.0049
2012/4/27,0.0551,0.047,-0.0047
2012/5/31,-0.0128,-0.0011,-0.0348
2012/6/29,-0.0527,-0.0152,-0.0136
2012/7/31,-0.0522,-0.0394,0.0085
2012/8/31,-0.0281,0.0589,-0.0166
2012/9/28,0.0212,-0.0342,-0.0187
2012/10/31,-0.012,0.0148,0.0233
2012/11/30,-0.0462,-0.0507,0.0538
2012/12/31,0.1426,0.0232,0.0136
2013/1/31,0.0434,0.0436,-0.0164
2013/2/28,-0.0126,0.0273,-0.0108
2013/3/29,-0.0563,0.0104,-0.0174
2013/4/26,-0.0299,-0.0036,-0.007
2013/5/31,0.0536,0.0676,-0.027
2013/6/28,-0.1318,-0.0298,-0.0181
2013/7/31,0.0116,0.0231,-0.0082
2013/8/30,0.0456,0.0758,0.0394
2013/9/30,0.0324,-0.0107,0.014
2013/10/31,-0.0175,0.0068,0.0446
2013/11/29,0.0325,0.0306,-0.0066
2013/12/31,-0.0506,-0.0002,0.0024
2014/1/30,-0.0455,0.0312,-0.0172
2014/2/28,0.0081,0.025,-0.0071
2014/3/31,-0.0134,0.0128,0.0202
2014/4/30,-0.0076,-0.0008,0.0069
2014/5/30,0.0042,0.0118,-0.0111
2014/6/30,0.0158,0.0142,-0.0211
2014/7/31,0.0859,0.0186,0.0111
2014/8/29,-0.0001,0.0438,-0.0192
2014/9/30,0.063,0.0783,-0.0085
2014/10/31,0.0227,0.0101,0.0137
2014/11/28,0.1093,-0.0144,0.0401
2014/12/31,0.2159,-0.1606,0.1544
2015/1/30,-0.0129,0.0236,-0.0522
2015/2/27,0.0252,0.0193,-0.0253
2015/3/31,0.1248,0.0559,-0.0157
2015/4/30,0.1849,-0.0238,0.036
2015/5/29,0.0143,0.1478,-0.1613
2015/6/30,-0.06,-0.0002,0.0622
2015/7/31,-0.1412,-0.0598,0.022
2015/8/31,-0.1293,0.0088,-0.0041
2015/9/30,-0.0518,0.0107,-0.0069
2015/10/30,0.1089,0.0803,-0.0637
2015/11/30,0.0117,0.1182,-0.0218
2015/12/31,0.025,0.0652,-0.0456
2016/1/29,-0.2283,-0.0559,0.0405
2016/2/29,-0.019,-0.0004,-0.0076
2016/3/31,0.1171,0.0516,-0.052
2016/4/29,-0.0227,0.0351,-0.0099
2016/5/31,-0.0072,-0.0312,-0.0073
2016/6/30,0.0048,0.0218,-0.0187
2016/7/29,0.0292,-0.0194,0.0188
2016/8/31,0.035,0.0331,0.0088
2016/9/30,-0.0255,0.0374,-0.0061
2016/10/31,0.0294,0.007,0.0076
2016/11/30,0.05,-0.0152,0.0341
2016/12/30,-0.0424,0.027,0.004
2017/1/26,0.0238,-0.0434,0.0395
2017/2/28,0.0173,0.0191,0.0071
2017/3/31,-0.0095,-0.0287,0.0194
2017/4/28,-0.0198,-0.0617,0.0285
2017/5/31,-0.0045,-0.0657,0.0577
2017/6/30,0.0276,-0.0085,-0.0164
2017/7/31,0.0442,-0.0127,0.0422
2017/8/31,0.0217,0.0075,-0.0128
2017/9/29,-0.0049,-0.0085,-0.0241
2017/10/31,0.0133,-0.0587,-0.0228
2017/11/30,-0.0177,-0.047,0.023
2017/12/29,-0.0038,-0.0404,-0.0143
2018/1/31,0.0595,-0.0635,0.0469
2018/2/28,-0.069,-0.0081,-0.0084
2018/3/30,-0.035,0.0371,-0.0634
2018/4/27,-0.0296,-0.0171,0.0214
2018/5/31,0.0017,-0.0361,-0.0166
2018/6/29,-0.0725,-0.0493,0.0323
2018/7/31,0.0237,0.0117,0.0108
2018/8/31,-0.0475,-0.009,0.0227
2018/9/28,0.0398,-0.0432,0.0255
2018/10/31,-0.0786,0.0149,0.0522
