证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
I,信息传输、软件和信息技术服务业,2019/12/31,0.00004137,1.4225,0.766432,0.765467,0.00001355,1.3879,0.791137,0.790274
I,信息传输、软件和信息技术服务业,2020/12/31,-0.00084656,1.2728,0.752983,0.751958,-0.0009116,1.259,0.773607,0.772668
I,信息传输、软件和信息技术服务业,2021/12/31,-0.00011695,0.87,0.473636,0.471452,-0.00023119,0.8563,0.485876,0.483742
J,金融业,2010/12/31,-0.00092181,0.8215,0.665635,0.664242,-0.00093687,0.8609,0.67768,0.676337
J,金融业,2011/12/30,0.00046308,0.7821,0.693563,0.692297,0.00043713,0.751,0.673465,0.672116
J,金融业,2012/12/31,0.00039281,0.7667,0.737195,0.736105,0.00039373,0.7237,0.716496,0.71532
J,金融业,2013/12/31,-0.00039623,0.9946,0.666308,0.664894,-0.00043848,0.9519,0.631811,0.630251
J,金融业,2014/12/31,0.00074112,1.0457,0.502521,0.500474,0.00084948,0.9999,0.458581,0.456353
J,金融业,2015/12/31,-0.0009016,0.6531,0.499376,0.497307,-0.00096414,0.6562,0.509027,0.506999
J,金融业,2016/12/30,0.00003656,0.5927,0.706799,0.705587,-0.00000537,0.6106,0.723091,0.721946
J,金融业,2017/12/29,0.00067251,0.3892,0.108425,0.104741,0.00054994,0.3673,0.118063,0.114419
J,金融业,2018/12/28,0.00035139,0.8164,0.631155,0.629625,0.00030892,0.7931,0.627657,0.626112
J,金融业,2019/12/31,0.00014623,0.8613,0.720781,0.719627,0.00014378,0.8873,0.731942,0.730834
J,金融业,2020/12/31,-0.00068603,0.8787,0.68291,0.681594,-0.00068074,0.8836,0.682702,0.681386
J,金融业,2021/12/31,-0.00051623,0.6449,0.346008,0.343294,-0.00055956,0.6447,0.348859,0.346157
K,房地产业,2010/12/31,-0.0006918,1.1158,0.640488,0.63899,-0.00053422,1.1401,0.638261,0.636754
K,房地产业,2011/12/30,0.00019625,1.1517,0.745629,0.744578,0.00017746,1.1485,0.762559,0.761577
K,房地产业,2012/12/31,0.00110738,1.223,0.704789,0.703564,0.00110744,1.2044,0.724595,0.723452
K,房地产业,2013/12/31,-0.00046745,1.2356,0.68444,0.683103,-0.00056412,1.19,0.670546,0.66915
K,房地产业,2014/12/31,0.00049146,1.0805,0.603312,0.60168,0.00048549,1.074,0.607071,0.605454
K,房地产业,2015/12/31,0.00079791,1.103,0.882429,0.881943,0.0004947,1.1088,0.882838,0.882354
K,房地产业,2016/12/30,-0.00033491,1.1204,0.856996,0.856405,-0.00045138,1.0915,0.857581,0.856993
K,房地产业,2017/12/29,-0.00020997,1.0259,0.431546,0.429197,-0.00009401,0.9746,0.454515,0.452261
K,房地产业,2018/12/28,0.00015492,1.1201,0.687065,0.685766,0.00017178,1.1008,0.664362,0.66297
K,房地产业,2019/12/31,-0.00011163,1.0078,0.72147,0.720319,-0.00014739,0.9754,0.720523,0.719368
K,房地产业,2020/12/31,-0.00119866,0.8792,0.600215,0.598556,-0.0012166,0.8605,0.604978,0.603339
K,房地产业,2021/12/31,-0.00035728,0.5244,0.131075,0.127469,-0.00026591,0.5085,0.13119,0.127585
L,租赁和商务服务业,2010/12/31,0.00010783,1.0306,0.723272,0.722119,0.00027734,1.0561,0.679415,0.678079
L,租赁和商务服务业,2011/12/30,0.00063081,1.1088,0.736844,0.735757,0.00078986,1.1137,0.705328,0.70411
L,租赁和商务服务业,2012/12/31,0.00007523,1.0154,0.694901,0.693635,0.00023512,1.0261,0.700069,0.698824
L,租赁和商务服务业,2013/12/31,0.00163692,1.0154,0.543788,0.541855,0.00174081,1.0493,0.583205,0.581439
L,租赁和商务服务业,2014/12/31,-0.00051042,1.0158,0.586652,0.584951,-0.00056525,1.0744,0.62539,0.623848
L,租赁和商务服务业,2015/12/31,0.00171266,1.1803,0.795119,0.794272,0.00189815,1.1567,0.829269,0.828563
L,租赁和商务服务业,2016/12/30,-0.00068601,1.2233,0.90348,0.903081,-0.00078743,1.2237,0.88235,0.881863
L,租赁和商务服务业,2017/12/29,-0.00067679,1.1095,0.59022,0.588527,-0.00057865,1.1464,0.636824,0.635323
L,租赁和商务服务业,2018/12/28,0.00003441,1.164,0.746385,0.745333,-0.00016397,1.187,0.78604,0.785153
L,租赁和商务服务业,2019/12/31,-0.00027357,1.0655,0.784575,0.783685,-0.00034051,1.057,0.819673,0.818928
L,租赁和商务服务业,2020/12/31,0.00137526,1.2139,0.609124,0.607502,0.00108976,1.1873,0.644428,0.642953
L,租赁和商务服务业,2021/12/31,-0.00076271,1.2663,0.350569,0.347875,-0.0006986,1.2196,0.356625,0.353955
M,科学研究和技术服务业,2010/12/31,0.00162911,0.931,0.516536,0.514522,0.00128776,0.943,0.586294,0.58457
M,科学研究和技术服务业,2011/12/30,0.00059162,1.0417,0.570145,0.568369,0.0004199,1.0688,0.572558,0.570792
M,科学研究和技术服务业,2012/12/31,0.00082434,1.2322,0.720103,0.718941,0.00092048,1.3351,0.788051,0.787171
M,科学研究和技术服务业,2013/12/31,0.00163688,1.1967,0.500742,0.498627,0.00160582,1.2024,0.539725,0.537775
M,科学研究和技术服务业,2014/12/31,-0.00079158,1.0532,0.408021,0.405585,-0.00066214,1.1232,0.453521,0.451272
M,科学研究和技术服务业,2015/12/31,0.00090019,1.2382,0.735458,0.734364,0.00099514,1.2282,0.769573,0.768621
M,科学研究和技术服务业,2016/12/30,-0.00002948,1.3375,0.880076,0.879581,0.00028534,1.3088,0.898767,0.898348
M,科学研究和技术服务业,2017/12/29,-0.00069693,1.5913,0.581689,0.57996,0.00077744,1.8036,0.559627,0.557807
M,科学研究和技术服务业,2018/12/28,-0.00019835,1.1455,0.738942,0.737859,0.00044706,1.262,0.657792,0.656372
M,科学研究和技术服务业,2019/12/31,0.00012227,1.0878,0.771247,0.770302,0.00025132,1.0973,0.762145,0.761162
M,科学研究和技术服务业,2020/12/31,0.00091405,1.0202,0.624382,0.622824,0.00104523,1.01,0.587712,0.586001
M,科学研究和技术服务业,2021/12/31,0.00001968,1.2153,0.322626,0.319815,0.00006985,1.2356,0.35147,0.348779
N,水利、环境和公共设施管理业,2010/12/31,-0.00019702,1.0783,0.749158,0.748112,-0.00030883,1.0571,0.775521,0.774586
N,水利、环境和公共设施管理业,2011/12/30,0.00006059,1.173,0.749158,0.748122,0.00023823,1.1534,0.75714,0.756136
N,水利、环境和公共设施管理业,2012/12/31,0.0002597,1.1725,0.729111,0.727987,0.00022341,1.1798,0.753472,0.752449
N,水利、环境和公共设施管理业,2013/12/31,0.00080061,1.1037,0.546417,0.544495,0.00049503,1.1246,0.637933,0.636399
N,水利、环境和公共设施管理业,2014/12/31,-0.00097204,0.9746,0.515361,0.513366,-0.00079729,0.9953,0.60951,0.607903
N,水利、环境和公共设施管理业,2015/12/31,0.00188179,1.1206,0.796383,0.795541,0.00170393,1.093,0.827312,0.826599
N,水利、环境和公共设施管理业,2016/12/30,-0.00027956,1.158,0.909612,0.909238,-0.00007663,1.1321,0.907719,0.907338
N,水利、环境和公共设施管理业,2017/12/29,-0.00032557,1.2903,0.47883,0.476677,-0.00002397,1.3033,0.52149,0.519513
N,水利、环境和公共设施管理业,2018/12/28,-0.0014144,1.1121,0.689414,0.688125,-0.00112504,1.124,0.7263,0.725164
N,水利、环境和公共设施管理业,2019/12/31,-0.00094398,1.1219,0.755144,0.754132,-0.00097217,1.108,0.758836,0.75784
N,水利、环境和公共设施管理业,2020/12/31,-0.00089204,0.9731,0.661233,0.659827,-0.00085315,0.9883,0.666161,0.664776
N,水利、环境和公共设施管理业,2021/12/31,0.00034315,0.5312,0.146329,0.142786,0.00021131,0.5562,0.153711,0.150199
