指数代码_IdxCd,交易日期_TrdDt,收盘价(元/点)_ClPr
000001,2012-03-29,2252.16
000001,2012-03-30,2262.788
000001,2012-04-05,2302.241
000001,2012-04-06,2306.553
000001,2012-04-09,2285.777
000001,2012-04-10,2305.863
000001,2012-04-11,2308.925
000001,2012-04-12,2350.864
000001,2012-04-13,2359.161
000001,2012-04-16,2357.026
000001,2012-04-17,2334.985
000001,2012-04-18,2380.848
000001,2012-04-19,2378.634
000001,2012-04-20,2406.863
000001,2012-04-23,2388.588
000001,2012-04-24,2388.834
000001,2012-04-25,2406.813
000001,2012-04-26,2404.697
000001,2012-04-27,2396.316
000001,2012-05-02,2438.436
000001,2012-05-03,2440.08
000001,2012-05-04,2452.014
000001,2012-05-07,2451.947
000001,2012-05-08,2448.884
000001,2012-05-09,2408.587
000001,2012-05-10,2410.23
000001,2012-05-11,2394.983
000001,2012-05-14,2380.725
000001,2012-05-15,2374.843
000001,2012-05-16,2346.192
000001,2012-05-17,2378.886
000001,2012-05-18,2344.52
000001,2012-05-21,2348.3
000001,2012-05-22,2373.307
000001,2012-05-23,2363.437
000001,2012-05-24,2350.973
000001,2012-05-25,2333.553
000001,2012-05-28,2361.367
000001,2012-05-29,2389.636
000001,2012-05-30,2384.668
000001,2012-05-31,2372.234
000001,2012-06-01,2373.436
000001,2012-06-04,2308.55
000001,2012-06-05,2311.916
000001,2012-06-06,2309.555
000001,2012-06-07,2293.13
000001,2012-06-08,2281.447
000001,2012-06-11,2305.856
000001,2012-06-12,2289.791
000001,2012-06-13,2318.924
000001,2012-06-14,2295.946
000001,2012-06-15,2306.85
000001,2012-06-18,2316.052
000001,2012-06-19,2300.795
000001,2012-06-20,2292.877
000001,2012-06-21,2260.877
000001,2012-06-25,2224.114
000001,2012-06-26,2222.067
000001,2012-06-27,2216.934
000001,2012-06-28,2195.843
000001,2012-06-29,2225.431
000001,2012-07-02,2226.11
000001,2012-07-03,2229.193
000001,2012-07-04,2227.315
000001,2012-07-05,2201.353
000001,2012-07-06,2223.579
000001,2012-07-09,2170.814
000001,2012-07-10,2164.437
000001,2012-07-11,2175.383
000001,2012-07-12,2185.491
000001,2012-07-13,2185.895
000001,2012-07-16,2147.955
000001,2012-07-17,2161.186
000001,2012-07-18,2169.099
000001,2012-07-19,2184.841
000001,2012-07-20,2168.638
000001,2012-07-23,2141.402
000001,2012-07-24,2146.589
000001,2012-07-25,2136.151
000001,2012-07-26,2126.004
000001,2012-07-27,2128.765
000001,2012-07-30,2109.914
000001,2012-07-31,2103.634
000001,2012-08-01,2123.36
000001,2012-08-02,2111.182
000001,2012-08-03,2132.796
000001,2012-08-06,2154.916
000001,2012-08-07,2157.62
000001,2012-08-08,2160.99
000001,2012-08-09,2174.102
000001,2012-08-10,2168.814
000001,2012-08-13,2136.078
000001,2012-08-14,2142.525
000001,2012-08-15,2118.945
000001,2012-08-16,2112.197
000001,2012-08-17,2114.891
000001,2012-08-20,2106.957
000001,2012-08-21,2118.268
000001,2012-08-22,2107.711
000001,2012-08-23,2113.072
000001,2012-08-24,2092.104
000001,2012-08-27,2055.708
000001,2012-08-28,2073.154
000001,2012-08-29,2053.235
000001,2012-08-30,2052.585
000001,2012-08-31,2047.522
000001,2012-09-03,2059.147
000001,2012-09-04,2043.649
000001,2012-09-05,2037.681
000001,2012-09-06,2051.918
000001,2012-09-07,2127.762
000001,2012-09-10,2134.893
000001,2012-09-11,2120.554
000001,2012-09-12,2126.554
000001,2012-09-13,2110.379
